Anise
Basil
Caraway
Coriander
Chamomile
Dill
Fennel
Lavender
Lemon Grass
Marjoram
Oregano
Parsley
Rosemary
Sage
Thyme
Lettuce
Mushrooms
Nettles
Okra
Garlic
Leek
Onion
Shallot
Parsley
Chili pepper
Jalapeño
Paprika
Tabasco pepper
Cayenne pepper
